id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,23126.18062656,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,19111706,21000000,441980765038,0.3969,468,91998,10614,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,67599.22675068,2021-11-08T00:00:00Z,50012377877.18,345.21553568,0.0152,-5510298129.33,-0.0992,6617454483.25,0.0152
ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,1653.75197371,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,121820861,,201461489006,0.1809,541,93796,77381,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,4811.44880560,2021-11-08T00:00:00Z,24240527663.74,46.44252741,0.0289,-8323457569.36,-0.2556,5679255436.26,0.0290,ETH
USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,1.00052424,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,66426425455,,66461248976,0.0597,480,87416,31046,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,3,0,1.09106995,2017-12-23T00:00:00Z,84498085687.47,0.00068351845,0.0007,-13159660425.57,-0.1348,59199038.65,0.0009,ETH
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,1.00016372,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,54338761505,54338829159,54347658078,0.0488,324,9014,10184,2015-11-18T00:00:00Z,2015-11-18T00:00:00Z,2018-10-26T00:00:00Z,4,0,1.03035693,2019-05-02T00:00:00Z,5268585293.67,0.00060324476,0.0006,-1373015491.53,-0.2067,-25396472.67,-0.0005,ETH
BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnb.svg,active,301.75989858,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,163276975,163276975,49270443305,0.0443,292,25012,1103464,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,5,0,676.74258386,2021-05-03T00:00:00Z,1890802800.31,19.48285908,0.0690,128934808.66,0.0732,3181102287.17,0.0690,BNB
XRP,XRP,XRP,XRP,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.37208034,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,48343101197,99989535142,17987517517,0.0162,313,3060,121,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,6,1,2.75914929,2018-01-07T00:00:00Z,1558215576.70,0.0073682501,0.0202,-576084985.78,-0.2699,356204060.68,0.0202,
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,1.00007195,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,17923534703,17923534703,17924824284,0.0161,178,11194,30780,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,7,-1,1.01272482,2020-03-12T00:00:00Z,9782411485.48,0.00018795569,0.0002,-2611994735.95,-0.2107,21725278.45,0.0012,ETH
ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,0.50928992,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,33820262544,45000000000,17224318904,0.0155,188,1064,693,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,8,0,2.96715794,2021-09-03T00:00:00Z,910812242.29,0.012373840,0.0249,-319720161.69,-0.2598,418486511.41,0.0249,
SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,39.36171593,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,346652339,508180964,13644830876,0.0123,142,3873,2896,2019-06-07T00:00:00Z,2020-04-10T00:00:00Z,2020-04-07T00:00:00Z,9,0,259.01164999,2021-11-06T00:00:00Z,3721154597.59,0.67243424,0.0174,680347318.35,0.2237,233073814.49,0.0174,SOL
DOT,DOT,DOT,Polkadot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOT.svg,active,8.19766505,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1137374817,1218323064,9323817789,0.0084,169,635,3,2018-12-12T00:00:00Z,2019-08-27T00:00:00Z,2019-08-28T00:00:00Z,10,0,366.66128625,2020-08-12T00:00:00Z,747803092.15,0.37111496,0.0474,-160153791.99,-0.1764,423741901.58,0.0476,
